topic_label,lema_label,count
world,world,1720
world,earth,120
world,reality,9
world,existence,6
world,universe,6
world,creation,4
world,domain,1
world,world,1720
world,global,332
world,earth,120
world,better_world,94
world,peaceful_world,32
world,public,25
world,free_world,23
world,this_world,23
world,whole_world,22
world,sustainable_world,22
world,healthy_world,18
world,safe_world,14
world,planet_earth,10
world,greener_world,9
world,beautiful_world,9
world,fairer_world,9
world,globalization,8
world,less_global,8
world,clean_world,7
world,happy_world,7
world,safer_world,7
world,green_world,7
world,united_world,7
world,more_world,6
world,worldwide,6
world,worlds,6
world,fair_world,5
world,developed_world,4
world,mother_earth,4
world,harmonious_world,4
world,prosperous_world,4
world,more_global,4
world,equitable_world,4
world,cleaner_world,4
world,friendly_world,4
world,equal_world,4
world,healthier_world,4
world,natural_world,3
world,reduced_global,3
world,cleaner_earth,3
world,healthy_earth,3
world,just_world,3
world,technological_world,3
world,egalitarian_world,3
world,good_world,3
world,peace_world,3
world,kind_world,3
world,livable_world,3
world,third_world,3
world,stable_world,3
world,that_world,2
world,free_earth,2
world,entire_world,2
world,modern_world,2
world,full_world,2
world,that_global,2
world,better_global,2
world,unified_world,2
world,clear_world,2
world,earths,2
world,less_world,2
world,worls,2
world,responsible_world,2
world,digital_world,2
world,polluted_world,2
world,inclusive_world,2
world,perfect_world,2
world,more_public,2
world,professional_world,2
world,successful_public,2
world,decrease_globalization,1
world,decarbonized_world,1
world,outside_world,1
world,efficient_public,1
world,local_public,1
world,strong_public,1
world,earthly,1
world,major_world,1
world,minimal_global,1
world,liveable_earth,1
world,destroyed_world,1
world,further_global,1
world,slow_global,1
world,divided_world,1
world,globalism,1
world,bountiful_world,1
world,clean_earth,1
world,sustainable_public,1
world,decreased_global,1
world,empathic_world,1
world,glbal,1
world,unruined_earth,1
world,collective_global,1
world,globales,1
world,problemas_globales,1
world,kinder_world,1
world,cooperative_world,1
world,nice_world,1
world,globa,1
world,progressive_world,1
world,tolerant_world,1
world,steady_world,1
world,safety_world,1
world,some_world,1
world,dignified_world,1
world,greater_world,1
world,rich_world,1
world,converted_world,1
world,sensible_world,1
world,benevolent_world,1
world,controlled_global,1
world,liveable_world,1
world,conscencius_world,1
world,problems_world,1
world,thousand_world,1
world,pollution_world,1
world,havitable_world,1
world,future_world,1
world,worl,1
world,peaceful_earth,1
world,calm_world,1
world,depressing_world,1
world,mature_world,1
world,friendly_global,1
world,other_global,1
world,very_world,1
world,open_world,1
world,friendster_world,1
world,focussed_world,1
world,intelligent_world,1
world,common_global,1
world,war_global,1
world,positive_global,1
world,eart,1
world,ecological_world,1
world,vegan_world,1
world,awesome_world,1
world,growing_world,1
world,bad_globalization,1
world,loving_world,1
world,counter_global,1
world,considerate_world,1
world,first_world,1
world,living_world,1
world,violent_world,1
world,poorest_global,1
world,socialist_world,1
world,humane_world,1
world,technology_world,1
world,creative_world,1
world,batter_world,1
world,real_world,1
world,advanced_world,1
world,human_world,1
world,healthier_worls,1
world,simpler_world,1
world,happier_world,1
world,healthier_earth,1
world,earth_world,1
world,racism_world,1
world,great_world,1
world,urban_world,1
world,virtual_world,1
world,increasing_global,1
world,economic_globalization,1
world,globalisation,1
world,peacefull_world,1
world,todays_global,1
world,ideal_world,1
world,happy_earth,1
world,major_worldwide,1
world,dipression_world,1
world,islamic_world,1
world,materialistic_world,1
world,unipolar_world,1
world,various_public,1
world,peoples_public,1
world,strong_world,1
world,achievable_world,1
